Nazwa	Skrót	Kod	Kod paskowy	Pierwszy dod. kod pask.	Typ	Kod grupy	Grupa	Jednostka	PKWiU	VATs	VATz	Ilość	Opak.zb.	Gramatura	Ce.zak.netto	Ce.sprz.netto	Ce.sprz.brutto	WPromocji:	Używaj limitów	Limit dolny	Limit górny	Marza bazowa	Narzut bazowy	Zapas na	LiczbaDniPrzydatnosci	Fotografia	Uwagi	Klas1	Klas2	Klas3	Klas4	Klas5	Klas6	Klas7	Klas8	Klas9	Klas10	DataWpisu	Opis
M.Grzejnik WEBERMAN V22 900x1600		2597			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	508.37	677.83	833.73		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 600x2800		2588			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	581.40	775.20	953.50		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 500x1200		2571			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	264.38	352.51	433.59		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 500x500		2565			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	166.87	222.50	273.68		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 500x600		2566			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	178.70	238.27	293.07		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 500x700		2567			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	194.21	258.95	318.51		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 900x1400		2596			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	460.22	613.63	754.76		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 500x800		2568			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	203.18	270.91	333.22		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 600x1100		2581			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	261.53	348.71	428.91		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 500x1000		2570			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	230.52	307.36	378.05		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 500x1800		2573			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	370.87	494.50	608.24		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 500x1600		2572			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	330.48	440.64	541.99		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 500x2200		2575			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	432.48	576.64	709.27		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 500x2400		2576			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	460.63	614.18	755.44		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 500x2600		2577			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	492.05	656.07	806.97		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 600x500		2578			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	171.77	229.03	281.71		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 600x700		2579			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	198.70	264.94	325.88		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 600x900		2580			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	230.11	306.82	377.39		0	1	1			14														2014-01-24	
M.Grzejnik WEBERMAN V22 500x900		2569			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	218.69	291.59	358.66		0	1	1			14														2014-01-24	
Przesyłka kurierska		2531			Usluga	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	0.01	0.01		0	1	1			14														2014-01-21	
Grzejnik COSMO V22 600x920		2527			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	266.35	341.46	420.00		0	1	1			14														2014-01-20	
Grzejnik COSMO V22 600x720		2526			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	221.55	284.55	350.00		0	1	1			14														2014-01-20	
KANALIZACJA - SZACOWANY MATERIAŁ		2529			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	0.01	0.01		0	1	1			14														2014-01-20	
IMM. KOCIOŁ VICTRIX 24kW ECOPLUS 100		2530			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	4241.05	4471.54	5500.00		0	1	1			14														2014-01-20	
Grzejnik COSMO V11 600x720		2528			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	159.60	207.32	255.00		0	1	1			14														2014-01-20	
IMM.K. KOŃCÓWKA WENTYLOWANA   60/100		2525			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	56.40	80.49	99.00		0	1	1			14			B3											2014-01-18	
SZAFKA GAZOWA G32 zp 30x25x15 Popiel		2524			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	83.71	104.07	128.00		0	1	1			14														2014-01-18	
SZAFKA GAZOWA G63 zp 60x60x25 Popiel		2523			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	173.33	215.45	265.00		0	1	1			14														2014-01-18	
Grzejnik COSMO V22 500x1400		2517			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	350.88	447.15	550.00		0	1	1			14														2014-01-13	
Grzejnik COSMO V22 400x1800 L		2516			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	385.70	495.93	610.00		0	1	1			14														2014-01-13	
Grzejnik COSMO V22 500x1400 L		2518			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	340.90	439.02	540.00		0	1	1			14														2014-01-13	
Grzejnik COSMO V22 600x1000		2519			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	289.10	369.92	455.00		0	1	1			14														2014-01-13	
Grzejnik COSMO V22 600x800 L		2520			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	233.80	300.81	370.00		0	1	1			14														2014-01-13	
Grzejnik COSMO V22 600x600 L		2521			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	207.90	268.29	330.00		0	1	1			14														2014-01-13	
Grzejnik COSMO V22 900x400		2522			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	230.30	296.75	365.00		0	1	1			14														2014-01-13	
Grzejnik COSMO V22 400x1800		2515			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	385.70	495.93	610.00		0	1	1			14														2014-01-13	
E.CZUJNIK GAZU ZIEMNEGO i PROPAN BUTAN		2514			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	61.41	73.17	90.00		0	1	1			14			LT-RCG-411-1 W (230V-kabel)											2014-01-08	
E.PRÓBNIK NAPIĘCIA		2513			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	6	1	1	1.97	2.85	3.50		0	1	1			14														2014-01-08	
E.PRZEWÓD   OMY   2x0,75 czarny		2512			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	0.61	1.22	1.50		0	1	1			14														2014-01-08	
MUFA ELEKTROOPOROWA   25		2505			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	2	1	1	8.80	10.57	13.00		0	1	1			14														2013-12-28	
TAŚMA IZOLACYJNA GAZ ŻÓŁTA 30mm		2511			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	15.60	19.50	23.99		0	1	1			14			51mm x 30,5m											2013-12-28	
TAŚMA IZOLACYJNA GAZ CZARNA 30mm		2510			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	15.60	19.50	23.99		0	1	1			14			51mm x 30,5m											2013-12-28	
SZAFKA GAZOWA GD63 Brązowa		2509			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	207.40	239.84	295.00		0	1	1			14														2013-12-28	
Podkład p.korozyjny - primer ATAGOR P27		2508			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	2	1	1	32.99	39.02	48.00		0	1	1			14														2013-12-28	
Przejscie z PE 25 na stal 1*		2507			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	24.67	28.46	35.00		0	1	1			14														2013-12-28	
MUFA ELEKTROOPOROWA   32		2506			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	8.80	11.38	14.00		0	1	1			14														2013-12-28	
ODPOWIETRZNIK KĄTOWY  1/2 FLEXV		2504			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	34.96	35.37	43.50		0	1	1			14														2013-12-24	
POMPA CYRKULACYJNA VORTEX		2503			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	290.92	321.14	395.00		0	1	1			14														2013-12-23	
GLIKOL  beczka 120L   -25stC		2502			Towar	1	Ogólna	l	Bez SWW	23%	23%	0	1	1	4.59	5.28	6.50		0	1	1			14			"PŁYN TERMALNY ""INNOVA-TERM"""											2013-12-23	
Bateria umywalkowa TEKA.EXP AURA		2501			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	161.79	164.23	202.00		0	1	1			14														2013-12-23	
M.KAN W Trójnik 110/50 - 45*	001939	2500			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	5	1	1	2.94	4.88	6.00		0	1	1			14			WAVIN											2013-12-23	
M.KAN W Trójnik 110/50 - 67*	001940	2499			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	5	1	1	2.94	4.88	6.00		0	1	1			14			WAVIN											2013-12-23	
M.KAN W Trójnik 110/50 - 90*	002717	2498			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	8	1	1	3.24	4.88	6.00		0	1	1			14														2013-12-23	
Grzejnik COSMO - głowica termostatyczna	biała	2497			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	-2	1	1	21.71	30.08	37.00		0	1	1			14														2013-12-20	
Grzejnik COSMO V11 600x1600		2496			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	245.70	308.94	380.00		0	1	1			14														2013-12-20	
Grzejnik COSMO V22 900x1000 L		2495			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	383.95	467.48	575.00		0	1	1			14														2013-12-20	
Grzejnik COSMO V22 900x1000		2494			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	383.95	467.48	575.00		0	1	1			14														2013-12-20	
Grzejnik COSMO V22 600x1200		2493			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	325.50	406.50	500.00		0	1	1			14														2013-12-20	
Grzejnik COSMO V22 600x800		2492			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	233.80	300.81	370.00		0	1	1			14														2013-12-20	
Grzejnik COSMO V22 600x400		2491			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	187.25	231.71	285.00		0	1	1			14														2013-12-20	
TAŚMA ELEKTROIZOLACYJNA PVC		2490			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	2.36	2.90		0	1	1			14														2013-12-19	
IMM. RURA    130 x 250		2489			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	20.33	25.00		0	1	1			14														2013-12-18	
IMM. KOLANO    130    90		2488			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	32.52	40.00		0	1	1			14														2013-12-18	
Grzejnik COSMO - zestaw montażowy V	bez odpowietrznika i korka V,VK,VM,P,PM	2487			Towar	1	Ogólna	kpl.	Bez SWW	23%	23%	16	1	1	4.12	8.54	10.50		0	1	1			14														2013-12-14	
Grzejnik COSMO V33 900x400 L		2486			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	310.45	390.24	480.00		0	1	1			14														2013-12-14	
Grzejnik COSMO V33 900x400		2485			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	310.45	390.24	480.00		0	1	1			14														2013-12-14	
M.Grzejnik WEBERMAN V22 900x1000		2484			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	339.46	455.28	560.00		0	1	1			14			WEBERMAN											2013-12-09	
M.Grzejnik WEBERMAN V11 600x1600		2483			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	227.66	300.81	370.00		0	1	1			14			WEBERMAN											2013-12-09	
M.Grzejnik WEBERMAN V22 600x1200		2482			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	271.73	361.79	445.00		0	1	1			14			WEBERMAN											2013-12-09	
M.Grzejnik WEBERMAN V22 600x800		2481			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	207.67	276.42	340.00		0	1	1			14			WEBERMAN											2013-12-09	
M.Grzejnik WEBERMAN V22 600x400		2480			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	159.12	211.38	260.00		0	1	1			14			WEBERMAN											2013-12-09	
M.Grzejnik WEBERMAN C22 400x1400	001235	2479			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	259.41	345.53	425.00		0	1	1			14			WEBERMAN											2013-12-04	
IMM.K.Osłona przeciwdeszczowa 60 / 300		2478			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	6	1	1	24.70	30.89	38.00		0	1	1			14														2013-12-03	
M.ŁOPATA ŚNIEGOWA duża MAXPOL	017097	2477			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	4	1	1	16.38	22.76	28.00		0	1	1			14														2013-11-28	
PP TRÓJNIK  RED.   40/25		2476			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	3.90	4.80		0	1	1			14														2013-11-25	
M.Korytko odw. liniowego 12T 1m - DEKIEL		2475			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	5.57	7.32	9.00		0	1	1			14														2013-11-22	
M.Korytko odw. liniowego 12T 1m		2474			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	39.34	56.10	69.00		0	1	1			14														2013-11-22	
M.E.Żarówka LED MRLED80WHT APOLLO	017202	2467			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	11.45	14.63	18.00		0	1	1			14			GU10											2013-11-21	
KOREK GRZEJNIKOWY  LEWY   (AL)		2462			Towar	1	Ogólna	kpl.	Bez SWW	23%	23%	4	1	1	1.08	2.03	2.50		0	1	1			14			"symbol  S
1"" x 1/2"""											2013-11-21	
KOREK GRZEJNIKOWY  PRAWY   (AL)		2463			Towar	1	Ogólna	kpl.	Bez SWW	23%	23%	6	1	1	1.08	2.03	2.50		0	1	1			14			"symbol  D
1"" x 1/2"""											2013-11-21	
MOŚ   NYPEL   3/8*		2464			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	16	1	1	0.99	2.03	2.50		0	1	1			14														2013-11-21	
KLAPKA DUŻA CHROM P.   WC		2473			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	70.73	83.74	103.00		0	1	1			14			"WC701
KLAPKA MAŁA WC  CHROM P.  995N/980N"											2013-11-21	
M.E.Żarówka halogenowa 50W 230V APOLLO	012799	2466			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	1.42	2.03	2.50		0	1	1			14			GU10											2013-11-21	
M.E.Żarówka LED SMD3528 48LED  APOLLO	002109	2468			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	17.52	21.95	27.00		0	1	1			14			GU10											2013-11-21	
M.Taśma dylatacyjna 5mmx10cmx50mb	021205	2469			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	-5	1	1	6.83	10.57	13.00		0	1	1			14														2013-11-21	
Oczyszczalnia biolog. BIO-HYBRYDA 2500L		2470			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	5638.21	5934.96	7300.00		0	1	1			14														2013-11-21	
Oczyszczalnia biolog. - preprarat bakt.		2471			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	5	1	1	48.78	60.98	75.00		0	1	1			14			BIO 7 CHOC - preparat bakteryjny ZASZCZEPIENNY											2013-11-21	
IMM.Kołnierz p.deszczowy 80		2472			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	2	1	1	28.51	34.15	42.00		0	1	1			14														2013-11-21	
PEX NOZYCE   02 CZ żółte		2465			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	23.70	44.72	55.00		0	1	1			14														2013-11-21	
Podgrzewacz gazowo-wężowy 150L TERMICA		2461			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	2232.00	2486.99	3059.00		0	1	1			14			STOJĄCY PRAWY Z ZAWOREM BEZPIECZEŃSTWA											2013-11-18	
M.Grzejnik PSB stalowy P6R V22 600x1000		2460			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	222.91	313.01	385.00		0	1	1			14			WEBERMAN											2013-11-14	
Umywalka 40 cm Koło		2457			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	55.28	75.61	93.00		0	1	1			14														2013-11-08	
Bateria umywalkowa Deante Fliger Taga		2459			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	55.28	72.36	89.00		0	1	1			14														2013-11-08	
Podgrzewacz TermetTermaQElectronic		2458			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	678.05	755.28	929.00		0	1	1			14														2013-11-08	
M.Grzejnik PSB stalowy P6R V22 600x400	016291	2456			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	148.94	199.19	245.00		0	1	1			14			WEBERMAN											2013-10-31	
M.KAN W Trójnik 110 - 90*	002713	2455			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	3	1	1	3.80	4.84	5.95		0	1	1			14			AQUER											2013-10-31	
M.KAN W Trójnik 50 - 67*	002732	2454			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	17	1	1	3.55	3.98	4.90		0	1	1			14			AQUER											2013-10-31	
ANODA DO PODGRZEWARZA AMERICAN 3/4		2453			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	39.84	43.90	54.00		0	1	1			14			22*500											2013-10-29	
IMM.K.Komin Rura KZS 160/1m D4		2452			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	92.32	121.95	150.00		0	1	1			14														2013-10-29	
CU ŁUK   18   1K		2451			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	1.10	1.70	2.09		0	1	1			14														2013-10-29	
CU ŁUK   15   1K		2450			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.76	1.09	1.34		0	1	1			14														2013-10-29	
Grzejnik Łazienkowy HENIKS G 9/80		2449			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	230.00	284.55	350.00		0	1	1			14			 (535x1180)											2013-10-25	
Grzejnik Łazienkowy HENIKS G 20/40		2448			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	184.00	243.50	299.50		0	1	1			14			 (535x1180)											2013-10-25	
ZAWÓR TEMPERATUROWY TSV3B  65  1*GW		2447			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	166.67	235.77	290.00		0	1	1			14														2013-10-25	
HERZ GŁOWICA TERM. COMAP 3/4		2445			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	3	1	1	26.72	32.52	40.00		0	1	1			14			SENSO RI M30											2013-10-22	
PP TRÓJNIK  RED.   50/40		2444			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	0.01	7.48	9.20		0	1	1			14														2013-10-22	
MOŚ   NYPEL   RED   1/2  *  3/8		2443			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	7	1	1	1.04	2.85	3.50		0	1	1			14														2013-10-22	
ZAWÓR TERMOSTATYCZNY 3/4 PROSTY COMAP		2446			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	2	1	1	45.30	53.25	65.50		0	1	1			14			COMAP											2013-10-22	
PP TRÓJNIK   50		2442			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	8.13	9.92	12.20		0	1	1			14														2013-10-18	
M.Grzejnik PSB stalowy P6R V22 600x1400	018803	2437			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	274.89	357.72	440.00		0	1	1			14			WEBERMAN											2013-10-17	
IMM. KOCIOŁ VICTRIX ZEUS SUPERIOR TOP 32X		2429			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	5556.60	6016.26	7400.00		0	1	1			14														2013-10-17	
M.Stelaż - mocowanie ścienne do 995	026786	2430			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	20.40	28.46	35.00		0	1	1			14														2013-10-17	
M.Stelaż WC 8cm  sucha zabudowa SANIT	018687	2431			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	360.06	438.21	539.00		0	1	1			14			SANIT											2013-10-17	
M.Stelaż - przycisk spłuk.mały chrom	016191	2432			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	83.64	101.63	125.00		0	1	1			14			707 do 995n/980n											2013-10-17	
M.Grzejnik PSB stalowy N00 C22 600x1000	001241	2433			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	162.18	215.45	265.00		0	1	1			14			WEBERMAN											2013-10-17	
M.Umywalka + szafka ITAKA 55 white ELITA	008170	2436			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	151.98	195.12	240.00		0	1	1			14														2013-10-17	
M.Odw.Ruszt Conti do wklej. płytek 700	030112	2438			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	1	1	1	117.73	158.54	195.00		0	1	1			14			WINKIEL											2013-10-17	
M.Korek zaślep. otwór umywalka chrom	001400	2439			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	3.64	6.91	8.50		0	1	1			14														2013-10-17	
M.Odw.Ruszt Conti do wklej. płytek 800	030113	2440			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	1	1	1	123.64	162.60	200.00		0	1	1			14			WINKIEL											2013-10-17	
M.Bateria umywal. ścienna chrom MILANO	007834	2441			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	67.47	89.43	110.00		0	1	1			14			"MILANO
FERRO"											2013-10-17	
M.PEX Rura 14x2.0  WAVIN	004588	2434			Towar	2	MARKA SP. Z O.O.	mb	Bez SWW	23%	23%	-2600	1	1	2.22	3.17	3.90		0	1	1			14														2013-10-17	
IMM.K.KOLANO PODST.   60/100		2428			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	3	1	1	95.16	158.54	195.00		0	1	1			14			K.012139											2013-10-12	
OC Rura 1/2  2-stronnie gwintowana 170cm		2426			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	7.42	16.26	20.00		0	1	1			14														2013-10-12	
IMM.K.Przejści dachowe   60		2427			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	19.77	28.46	35.00		0	1	1			14			B3											2013-10-12	
WYMIENNIK PŁYTOWY 1* 20kW		2425			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	311.25	378.05	465.00		0	1	1			14														2013-10-11	
M.Odwodnienie liniowe wersja ekonom. 700	030134	2420			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	1	1	1	144.57	239.84	295.00		0	1	1			14			WINKIEL											2013-10-09	
M.Szafka pod komorę pralniczą PYRAMIS	013000	2424			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	169.40	241.87	297.50		0	1	1			14														2013-10-09	
M.Komora pralnicza biała PYRAMIS	009118	2423			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	0	1	1	239.74	317.07	390.00		0	1	1			14														2013-10-09	
M.RO6 - Membrana 75  (H2O0)	030136	2422			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	2	1	1	55.20	65.00	79.95		0	1	1			14			"membrana 75, wył.FXFCH4, mineralizator, przyłącze 1/2""
H2O0"											2013-10-09	
M.Odwodnienie liniowe wersja ekonom. 800	030135	2421			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	1	1	1	154.13	284.55	350.00		0	1	1			14			WINKIEL											2013-10-09	
RURA CZARNA Z/SZ   3/8*		2419			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	3.13	4.88	6.00		0	1	1			14														2013-10-08	
IMM.K.DASZEK KOMINA   60		2414			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	14.87	32.52	40.00		0	1	1			14														2013-10-07	
M.PE Rura 40 x 3.0  SDR 13,6	002763	2405			Towar	2	MARKA SP. Z O.O.	mb	Bez SWW	23%	23%	20	1	1	3.09	4.15	5.10		0	1	1			14			PE-80											2013-10-07	
M.PE Rura 25 x 2.0  SDR 13,6	002761	2406			Towar	2	MARKA SP. Z O.O.	mb	Bez SWW	23%	23%	0	1	1	1.24	1.79	2.20		0	1	1			14			PE-80											2013-10-07	
PODGRZEWACZ DWUPŁASZCZ 140L PION S		2407			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	893.50	975.61	1200.00		0	1	1			14														2013-10-07	
GRZAŁKA PODGRZEWACZA 2000W W-2	z regulacją temperatury	2408			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	0	1	1	78.48	97.56	120.00		0	1	1			14			Komplet elektr. z grz. 2kW 230v - K5/4											2013-10-07	
M.KAN W Rura 110 x 500	026855	2409			Towar	2	MARKA SP. Z O.O.	szt.	Bez SWW	23%	23%	17	1	1	4.21	5.81	7.15		0	1	1			14														2013-10-07	
E.PRZEWÓD   YDY   4x2,5		2404			Towar	1	Ogólna	mb	Bez SWW	23%	23%	0	1	1	3.55	4.47	5.50		0	1	1			14														2013-10-07	
IMM.K.KOLANO    60/100    90		2412			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	3	1	1	77.95	119.51	147.00		0	1	1			14														2013-10-07	
IMM.K.Rura    60 x 500		2411			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	3	1	1	24.29	34.15	42.00		0	1	1			14														2013-10-07	
IMM.K.ROZETA DUŻA    100		2415			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	12.48	17.89	22.00		0	1	1			14														2013-10-07	
IMM.K.KOLANO    80    90	KKD08K90B2	2416			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	2	1	1	41.42	60.16	74.00		0	1	1			14														2013-10-07	
IMM.K.Rura koncentryczna 60/100  1000	KPD06R10B1B3	2417			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	10	1	1	70.36	105.69	130.00		0	1	1			14														2013-10-07	
IMM.K.Wyrzut boczny 60/100		2418			Towar	1	Ogólna	szt.	Bez SWW	23%	23%	1	1	1	98.34	130.08	160.00		0	1	1			14														2013-10-07	
